LV,Phrase
C1,in light of sth
C1,in the meantime
C1,in the midst of sth
C1,in the presence of sb
C1,in the presence of sth
C1,in the wake of sb/sth
C1,involvement in sth
C1,let alone
C1,little more than…
C1,live on sth
C1,may well
C1,nothing like
C1,not to mention
C1,on behalf of sb
C1,on the part of sb
C1,over the course of…
C1,put it
C1,How shall I put it?
C1,seek to do sth
C1,set to do sth
C1,the extent to which…
C1,to date
C1,his best work to date
C1,up against sth
C1,with regard to sb/sth
C1,with respect to sth
C1,with the exception of sb/sth
